EACODE;source;value
10312010;WPDx;2
10312011;DoIWD;11
10312012;DoIWD;9
10312013;DoIWD;10
10312014;DoIWD;5
10312015;DoIWD;5
10312017;DoIWD;6
10314001;DoIWD;11
10320701;DoIWD;3
10320703;DoIWD;7
10320704;DoIWD;5
10320705;DoIWD;1
10320706;DoIWD;6
10320706;Madzi Alipo;1
10320706;WPDx;1
10320707;DoIWD;1
10401001;DoIWD;13
10401002;DoIWD;17
10401002;Madzi Alipo;5
10401002;WPDx;1
10401003;DoIWD;25
10401003;Madzi Alipo;9
10401003;WPDx;2
10401004;DoIWD;19
10401004;Madzi Alipo;26
10401005;DoIWD;7
10401005;Madzi Alipo;5
10401005;WPDx;1
10401006;DoIWD;7
10401006;Madzi Alipo;2
10401007;DoIWD;18
10401007;Madzi Alipo;42
10401007;WPDx;10
10401008;DoIWD;15
10401008;Madzi Alipo;20
10401009;DoIWD;35
10401009;Madzi Alipo;157
10401010;DoIWD;31
10401010;Madzi Alipo;51
10401011;DoIWD;12
10401011;Madzi Alipo;39
10401011;WPDx;3
10401012;DoIWD;41
10401012;Madzi Alipo;82
10401012;WPDx;1
10401013;DoIWD;27
10401013;Madzi Alipo;56
10401013;WPDx;1
10401014;Madzi Alipo;5
10401015;DoIWD;20
10401015;Madzi Alipo;7
10401016;DoIWD;26
10401016;Madzi Alipo;13
10401016;WPDx;6
10401017;DoIWD;22
10401017;Madzi Alipo;9
10401017;OSM;1
10401017;WPDx;2
10401018;DoIWD;3
10401018;Madzi Alipo;11
10401019;DoIWD;6
10401019;Madzi Alipo;25
10401020;Madzi Alipo;10
10401021;DoIWD;6
10401021;Madzi Alipo;9
10401022;DoIWD;1
10401022;Madzi Alipo;4
10401023;DoIWD;6
10401023;Madzi Alipo;5
10401023;WPDx;3
10401024;DoIWD;2
10401024;Madzi Alipo;1
10401025;DoIWD;35
10401025;Madzi Alipo;28
10401025;WPDx;4
10401026;DoIWD;10
10401026;Madzi Alipo;27
10401027;DoIWD;29
10401027;Madzi Alipo;41
10401028;DoIWD;18
10401028;Madzi Alipo;38
10401028;WPDx;1
10401029;DoIWD;20
10401029;Madzi Alipo;41
10401030;DoIWD;11
10401030;Madzi Alipo;16
10401031;DoIWD;33
10401031;Madzi Alipo;33
10401031;WPDx;1
10401032;DoIWD;19
10401032;Madzi Alipo;47
10401033;DoIWD;23
10401033;Madzi Alipo;30
10401033;WPDx;1
10401034;DoIWD;33
10401034;Madzi Alipo;41
10401034;WPDx;3
10401035;DoIWD;17
10401035;Madzi Alipo;40
10401035;WPDx;2
10401036;DoIWD;33
10401036;Madzi Alipo;60
10401036;WPDx;2
10401037;DoIWD;12
10401037;Madzi Alipo;12
10401037;WPDx;5
10401038;DoIWD;10
10401038;Madzi Alipo;4
10401038;WPDx;3
10401801;DoIWD;23
10401801;Madzi Alipo;39
10401801;WPDx;1
10401802;DoIWD;35
10401802;Madzi Alipo;67
10402001;DoIWD;20
10402001;Madzi Alipo;9
10402001;WPDx;1
10402002;DoIWD;23
10402002;Madzi Alipo;15
10402003;DoIWD;39
10402003;Madzi Alipo;24
10402004;DoIWD;24
10402004;Madzi Alipo;41
10402005;DoIWD;20
10402005;Madzi Alipo;20
10402006;DoIWD;1
10402006;Madzi Alipo;4
10403001;DoIWD;4
10403001;Madzi Alipo;7
10403001;WPDx;1
10403002;DoIWD;17
10403002;Madzi Alipo;53
10403002;WPDx;5
10403003;DoIWD;12
10403003;Madzi Alipo;18
10403003;WPDx;2
10403004;DoIWD;19
10403004;Madzi Alipo;14
10403005;DoIWD;38
10403005;Madzi Alipo;40
10403006;DoIWD;39
10403006;Madzi Alipo;38
10403006;WPDx;1
10403007;DoIWD;28
10403007;Madzi Alipo;26
10403007;WPDx;7
10403801;DoIWD;16
10403801;Madzi Alipo;37
10404001;DoIWD;26
10404001;Madzi Alipo;90
10404002;DoIWD;13
10404002;Madzi Alipo;37
10404002;WPDx;1
10404003;DoIWD;6
10404003;Madzi Alipo;7
10404004;DoIWD;18
10404004;Madzi Alipo;56
10404005;DoIWD;10
10404005;Madzi Alipo;8
10404005;WPDx;1
10404006;DoIWD;22
10404006;Madzi Alipo;61
10404006;OSM;2
10404007;DoIWD;132
10404007;Madzi Alipo;106
10404008;DoIWD;6
10404008;Madzi Alipo;18
10404009;DoIWD;18
10404009;Madzi Alipo;83
10404010;DoIWD;15
10404010;Madzi Alipo;34
10404011;DoIWD;24
10404011;Madzi Alipo;33
10404801;Madzi Alipo;79
10404802;DoIWD;23
10404802;Madzi Alipo;54
10404901;DoIWD;2
10404901;Madzi Alipo;7
10405001;DoIWD;15
10405001;Madzi Alipo;52
10405002;DoIWD;2
10405002;Madzi Alipo;8
10405003;DoIWD;13
10405003;Madzi Alipo;16
10405004;DoIWD;8
10405004;Madzi Alipo;11
10405005;DoIWD;25
10405005;Madzi Alipo;23
10405006;DoIWD;41
10405006;Madzi Alipo;64
10407001;DoIWD;68
10407001;Madzi Alipo;60
10407002;DoIWD;8
